,cdl,cdl_desc,gen_class,gen_class_desc,label_group_desc,label_group_desc_corr,label_group,name,cintcp,covmax,amxdr,cfact_fal,cfact_cov,mannings_n,double_crop_a,double_crop_b,cultivated_cdl,state,cdl_a,cdl_b,plant_begin_a,plant_begin_active_begin_a,plant_begin_active_end_a,plant_end_a,harvest_begin_a,harvest_begin_active_begin_a,harvest_begin_active_end_a,harvest_end_a,plant_begin_b,plant_begin_active_begin_b,plant_begin_active_end_b,plant_end_b,harvest_begin_b,harvest_begin_active_begin_b,harvest_begin_active_end_b,harvest_end_b,Unnamed: 0,irrigation_flag,irrigation_type,irrigated_fraction,above_canopy_acres,below_canopy_acres,cultivated_gen,cn_fallow_A,cn_fallow_B,cn_fallow_C,cn_fallow_D,cn_ag_A,cn_ag_B,cn_ag_C,cn_ag_D
0,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,AL,,,18-Apr,25-Apr,5-May,12-May,26-May,6-Jun,20-Jun,9-Jul,,,,,,,,,0.0,1.0,over,0.425,33624.0,84.0,1,74,83,88,90,64,74,81,85
1,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,AZ,,,10-Apr,26-Apr,4-May,18-May,4-Jun,22-Jun,5-Jul,18-Jul,,,,,,,,,2.0,1.0,over,1.0,49488.0,26958.0,1,74,83,88,90,64,74,81,85
2,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,AR,,,19-Apr,5-May,19-May,5-Jun,19-Jun,6-Jul,23-Jul,4-Aug,,,,,,,,,3.0,1.0,under,0.984,151517.0,548297.0,1,74,83,88,90,64,74,81,85
3,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,CA,,,13-Apr,27-Apr,14-May,1-Jun,13-Jun,27-Jun,15-Jul,29-Jul,,,,,,,,,4.0,1.0,under,1.0,42866.0,473046.0,1,74,83,88,90,64,74,81,85
4,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,CO,,,15-Apr,24-Apr,12-May,28-May,7-Jun,16-Jun,29-Jun,14-Jul,,,,,,,,,5.0,1.0,over,0.8540000000000001,590081.0,97041.0,1,74,83,88,90,64,74,81,85
5,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,CT,,,19-Apr,27-Apr,10-May,30-May,16-Jun,24-Jun,1-Jul,12-Jul,,,,,,,,,6.0,0.0,,0.024,36.0,24.0,1,74,83,88,90,64,74,81,85
6,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,DE,,,18-Apr,27-Apr,4-May,15-May,27-May,15-Jun,24-Jun,4-Jul,,,,,,,,,7.0,1.0,over,0.527,60891.0,0.0,1,74,83,88,90,64,74,81,85
7,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,FL,,,13-Apr,26-Apr,7-May,17-May,31-May,11-Jun,27-Jun,10-Jul,,,,,,,,,8.0,1.0,over,0.7659999999999999,38353.0,1540.0,1,74,83,88,90,64,74,81,85
8,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,GA,,,15-Apr,4-May,12-May,25-May,10-Jun,29-Jun,17-Jul,24-Jul,,,,,,,,,9.0,1.0,over,0.879,269213.0,0.0,1,74,83,88,90,64,74,81,85
9,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,ID,,,14-Apr,30-Apr,19-May,2-Jun,18-Jun,27-Jun,6-Jul,26-Jul,,,,,,,,,11.0,1.0,over,0.995,251914.0,83450.0,1,74,83,88,90,64,74,81,85
10,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,IL,,,21-Apr,6-May,22-May,9-Jun,26-Jun,7-Jul,24-Jul,31-Jul,,,,,,,,,12.0,1.0,over,0.414,372459.0,3484.0,1,74,83,88,90,64,74,81,85
11,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,IN,,,10-Apr,21-Apr,6-May,15-May,27-May,9-Jun,17-Jun,1-Jul,,,,,,,,,13.0,0.0,,0.362,313915.0,4010.0,1,74,83,88,90,64,74,81,85
12,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,IA,,,13-Apr,30-Apr,13-May,22-May,11-Jun,28-Jun,15-Jul,4-Aug,,,,,,,,,14.0,0.0,,0.335,118574.0,120.0,1,74,83,88,90,64,74,81,85
13,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,KS,,,13-Apr,30-Apr,18-May,30-May,15-Jun,4-Jul,18-Jul,1-Aug,,,,,,,,,15.0,1.0,over,0.665,1588826.0,24888.0,1,74,83,88,90,64,74,81,85
14,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,KY,,,21-Apr,11-May,19-May,29-May,5-Jun,19-Jun,4-Jul,19-Jul,,,,,,,,,16.0,0.0,,0.199,28257.0,0.0,1,74,83,88,90,64,74,81,85
15,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,LA,,,14-Apr,2-May,21-May,5-Jun,22-Jun,9-Jul,29-Jul,13-Aug,,,,,,,,,17.0,1.0,under,0.7829999999999999,62576.0,237687.0,1,74,83,88,90,64,74,81,85
16,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,ME,,,10-Apr,18-Apr,7-May,14-May,27-May,15-Jun,5-Jul,20-Jul,,,,,,,,,18.0,1.0,over,0.925,37.0,0.0,1,74,83,88,90,64,74,81,85
17,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,MD,,,17-Apr,2-May,20-May,2-Jun,11-Jun,1-Jul,10-Jul,18-Jul,,,,,,,,,19.0,1.0,over,0.425,45233.0,334.0,1,74,83,88,90,64,74,81,85
18,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,MA,,,21-Apr,29-Apr,14-May,28-May,6-Jun,15-Jun,28-Jun,6-Jul,,,,,,,,,20.0,0.0,,0.226,7.0,0.0,1,74,83,88,90,64,74,81,85
19,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,MI,,,10-Apr,30-Apr,20-May,9-Jun,27-Jun,14-Jul,26-Jul,7-Aug,,,,,,,,,21.0,1.0,over,0.498,310715.0,626.0,1,74,83,88,90,64,74,81,85
20,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,MN,,,8-Apr,15-Apr,27-Apr,9-May,24-May,8-Jun,22-Jun,8-Jul,,,,,,,,,22.0,0.0,,0.386,284396.0,0.0,1,74,83,88,90,64,74,81,85
21,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,MS,,,18-Apr,1-May,17-May,24-May,2-Jun,19-Jun,28-Jun,14-Jul,,,,,,,,,23.0,1.0,under,0.841,140637.0,381841.0,1,74,83,88,90,64,74,81,85
