cdl,cdl_name,gen_class_name,gen_class,CFR_label_group
1,Corn,Corn,10,Cereal Grains (15B)
2,Cotton,Cotton,20,Oilseed (20C)
3,Rice,Rice,30,Cereal Grains (15C)
4,Sorghum,Other grains,80,Cereal Grains (15B)
5,Soybeans,Soybeans,40,Legumes (6)
6,Sunflower,Other row crops,90,Oilseed (20B)
10,Peanuts,Other row crops,90,Non-CFR Crops ()
11,Tobacco,Other row crops,90,Non-CFR Crops ()
12,Sweet Corn,Vegetables,60,Cereal Grains (15B)
13,Pop or Orn Corn,Vegetables,60,Cereal Grains (15B)
14,Mint,Vegetables,60,Herbs (25A)
21,Barley,Other grains,80,Cereal Grains (15A)
22,Durum Wheat,Wheat,22,Cereal Grains (15A)
23,Spring Wheat,Wheat,23,Cereal Grains (15A)
24,Winter Wheat,Wheat,24,Cereal Grains (15A)
25,Other Small Grains,Other grains,80,Cereal Grains (15A)
26,Dbl Crop WinWht/Soybeans,Soybeans/Wheat,45,Legumes (6) / Cereal Grains (15A)
27,Rye,Other grains,80,Cereal Grains (15A)
28,Oats,Other grains,80,Cereal Grains (15A)
29,Millet,Other grains,80,Cereal Grains (15B)
30,Speltz,Other grains,80,Cereal Grains (15A)
31,Canola,Other grains,80,Oilseed (20A)
32,Flaxseed,Other grains,80,Oilseed (20A)
33,Safflower,Other grains,80,Oilseed (20B)
34,Rape Seed,Other grains,80,Oilseed (20A)
35,Mustard,Vegetables,60,Oilseed (20A)
36,Alfalfa,Pasture/hay/forage,110,Nongrass Animal Feeds (18)
37,Other Hay/Non Alfalfa,Pasture/hay/forage,110,Nongrass Animal Feeds (17)
38,Camelina,Other grains,80,Oilseed (20A)
39,Buckwheat,Other grains,80,Cereal Grains (15A)
41,Sugarbeets,Other row crops,90,"Vegetables, Root and Tuber (1A)"
42,Dry Beans,Vegetables,60,"Vegetables, Legume (6-18E)"
43,Potatoes,Vegetables,60,"Vegetables, Root and Tuber (1C)"
44,Other Crops,Other crops,100,Mixed ()
45,Sugarcane,Other grains,80,not listed ()
46,Sweet Potatoes,Vegetables,60,"Vegetables, Root and Tuber (1D)"
47,Misc Vegs & Fruits,Vegetables,60,Mixed ()
48,Watermelons,Vegetables,60,"Vegetables, Cucurbit (9A)"
49,Onions,Vegetables,60,"Vegetables, Bulb (3-07A)"
50,Cucumbers,Vegetables,60,"Vegetables, Cucurbit (9B)"
51,Chick Peas,Vegetables,60,"Vegetables, Legume (6-18C)"
52,Lentils,Vegetables,60,"Vegetables, Legume (6-18C)"
53,Peas,Vegetables,60,"Vegetables, Legume (6-18B, D, F)"
54,Tomatoes,Vegetables,60,"Vegetables, Fruiting (8-10A)"
55,Caneberries,Ground fruit,61,Berries and Small Fruit (13-07A)
56,Hops,Other row crops,90,Non-CFR Crops ()
57,Herbs,Vegetables,60,Herbs (25A)
