cdl,cdl_name,cintcp,covmax,amxdr,cfact_fal,cfact_cov,mannings_n,double_crop_a,double_crop_b,cultivated
1,Corn,0.25,100,90,0.638,0.017,0.014,,,1
2,Cotton,0.2,100,65,0.71,0.218,0.014,,,1
3,Rice,,,,,,,,,1
4,Sorghum,0.1,100,23,0.467,0.023,0.04,,,1
5,Soybeans,0.2,100,30,0.351,0.035,0.014,,,1
6,Sunflower,0.25,100,46,0.687,0.164,0.014,,,1
10,Peanuts,0.25,100,46,0.687,0.164,0.014,,,1
11,Tobacco,0.2,80,60,0.433,0.051,0.014,,,1
12,Sweet Corn,0.25,100,90,0.638,0.017,0.014,,,1
13,Pop or Orn Corn,0.25,100,90,0.638,0.017,0.014,,,1
14,Mint,0.25,100,30,0.688,0.09,0.014,,,1
21,Barley,0.1,100,23,0.467,0.023,0.04,,,1
22,Durum Wheat,0.1,99,23,0.335,0.017,0.04,,,1
23,Spring Wheat,0.1,99,23,0.335,0.017,0.04,,,1
24,Winter Wheat,0.1,99,23,0.335,0.017,0.04,,,1
25,Other Small Grains,0.1,100,23,0.467,0.023,0.04,,,1
26,Dbl Crop WinWht/Soybeans,,,,,,,24,5,1
27,Rye,0.1,100,23,0.467,0.023,0.04,,,1
28,Oats,0.1,100,23,0.467,0.023,0.04,,,1
29,Millet,0.1,100,23,0.467,0.023,0.04,,,1
30,Speltz,0.1,100,23,0.467,0.023,0.04,,,1
31,Canola,0.1,100,100,0.467,0.023,0.04,,,1
32,Flaxseed,0.1,100,23,0.467,0.023,0.04,,,1
33,Safflower,0.1,100,23,0.467,0.023,0.04,,,1
34,Rape Seed,0.1,100,23,0.467,0.023,0.04,,,1
35,Mustard,0.2,60,38,0.688,0.09,0.014,,,1
36,Alfalfa,0.25,100,100,0.018,0.001,0.11,,,1
38,Camelina,0.1,100,23,0.467,0.023,0.04,,,1
39,Buckwheat,0.1,100,23,0.467,0.023,0.04,,,1
41,Sugarbeets,0.2,100,100,0.687,0.164,0.014,,,1
42,Dry Beans,0.1,100,38,0.688,0.09,0.014,,,1
43,Potatoes,0.1,40,30,0.688,0.09,0.014,,,1
44,Other Crops,0.25,100,46,0.687,0.164,0.014,,,1
45,Sugarcane,0.1,100,100,0.467,0.023,0.04,,,1
46,Sweet Potatoes,0.2,60,38,0.688,0.09,0.014,,,1
47,Misc Vegs & Fruits,0.2,60,38,0.688,0.09,0.014,,,1
48,Watermelons,0.25,100,46,0.688,0.09,0.014,,,1
49,Onions,0.05,80,35,0.688,0.09,0.014,,,1
50,Cucumbers,0.2,60,38,0.688,0.09,0.014,,,1
51,Chick Peas,0.2,60,38,0.688,0.09,0.014,,,1
52,Lentils,0.2,60,38,0.688,0.09,0.014,,,1
53,Peas,0.2,60,38,0.688,0.09,0.014,,,1
54,Tomatoes,0.1,65,30,0.688,0.09,0.014,,,1
