cdl,cdl_desc,gen_class,gen_class_desc,label_group_desc,label_group_desc_corr,label_group
1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B
2,Cotton,20,Cotton,not listed,Oilseed,20C
3,Rice,30,Rice,Cereal Grains,Cereal Grains,15C
4,Sorghum,80,Other grains,Cereal Grains,Cereal Grains,15B
5,Soybeans,40,Soybeans,"Vegetables, Legume",Legumes,6
6,Sunflower,90,Other row crops,not listed,Oilseed,20B
10,Peanuts,90,Other row crops,not listed,Non-CFR Crops,
11,Tobacco,90,Other row crops,not listed,Non-CFR Crops,
12,Sweet Corn,60,Vegetables and ground fruit,Cereal Grains,Cereal Grains,15B
13,Pop or Orn Corn,60,Vegetables and ground fruit,Cereal Grains,Cereal Grains,15B
14,Mint,60,Vegetables and ground fruit,Herbs and Spices,Herb,25
21,Barley,80,Other grains,Cereal Grains,Cereal Grains,15A
22,Durum Wheat,22,Wheat,Cereal Grains,Cereal Grains,15A
23,Spring Wheat,23,Wheat,Cereal Grains,Cereal Grains,15A
24,Winter Wheat,24,Wheat,Cereal Grains,Cereal Grains,15A
25,Other Small Grains,80,Other grains,Cereal Grains,Cereal Grains,15A
26,Dbl Crop WinWht/Soybeans,45,Soybeans/Wheat,2 separate crops,,15A/6
27,Rye,80,Other grains,Cereal Grains,Cereal Grains,15A
28,Oats,80,Other grains,Cereal Grains,Cereal Grains,15A
29,Millet,80,Other grains,Cereal Grains,Cereal Grains,15B
30,Speltz,80,Other grains,Cereal Grains,Cereal Grains,15A
31,Canola,80,Other grains,Oilseed,Oilseed,20A
32,Flaxseed,80,Other grains,Oilseed,Oilseed,20A
33,Safflower,80,Other grains,Oilseed,Oilseed,20B
34,Rape Seed,80,Other grains,Oilseed,Oilseed,20A
35,Mustard,60,Vegetables and ground fruit,"Vegetables, Brassica","Vegetables, Brassica Leafy",4-16B
36,Alfalfa,110,Pasture/hay/forage,Nongrass Animal Feeds,Nongrass Animal Feeds,18
37,Other Hay/Non Alfalfa,110,Pasture/hay/forage,Nongrass Animal Feeds,Nongrass Animal Feeds,17
38,Camelina,80,Other grains,Oilseed,Oilseed,20A
39,Buckwheat,80,Other grains,Cereal Grains,Cereal Grains,15A
41,Sugarbeets,90,Other row crops,"Vegetables, Root and Tuber","Vegetables, Root and Tuber",1A
