cdl,state,cdl_a,cdl_b,plant_begin_a,plant_begin_active_begin_a,plant_begin_active_end_a,plant_end_a,harvest_begin_a,harvest_begin_active_begin_a,harvest_begin_active_end_a,harvest_end_a,plant_begin_b,plant_begin_active_begin_b,plant_begin_active_end_b,plant_end_b,harvest_begin_b,harvest_begin_active_begin_b,harvest_begin_active_end_b,harvest_end_b
1,AL,,,18-Apr,25-Apr,5-May,12-May,26-May,6-Jun,20-Jun,9-Jul,,,,,,,,
1,AZ,,,10-Apr,26-Apr,4-May,18-May,4-Jun,22-Jun,5-Jul,18-Jul,,,,,,,,
1,AR,,,19-Apr,5-May,19-May,5-Jun,19-Jun,6-Jul,23-Jul,4-Aug,,,,,,,,
1,CA,,,13-Apr,27-Apr,14-May,1-Jun,13-Jun,27-Jun,15-Jul,29-Jul,,,,,,,,
1,CO,,,15-Apr,24-Apr,12-May,28-May,7-Jun,16-Jun,29-Jun,14-Jul,,,,,,,,
1,CT,,,19-Apr,27-Apr,10-May,30-May,16-Jun,24-Jun,1-Jul,12-Jul,,,,,,,,
1,DE,,,18-Apr,27-Apr,4-May,15-May,27-May,15-Jun,24-Jun,4-Jul,,,,,,,,
1,FL,,,13-Apr,26-Apr,7-May,17-May,31-May,11-Jun,27-Jun,10-Jul,,,,,,,,
1,GA,,,15-Apr,4-May,12-May,25-May,10-Jun,29-Jun,17-Jul,24-Jul,,,,,,,,
1,ID,,,14-Apr,30-Apr,19-May,2-Jun,18-Jun,27-Jun,6-Jul,26-Jul,,,,,,,,
1,IL,,,21-Apr,6-May,22-May,9-Jun,26-Jun,7-Jul,24-Jul,31-Jul,,,,,,,,
1,IN,,,10-Apr,21-Apr,6-May,15-May,27-May,9-Jun,17-Jun,1-Jul,,,,,,,,
1,IA,,,13-Apr,30-Apr,13-May,22-May,11-Jun,28-Jun,15-Jul,4-Aug,,,,,,,,
1,KS,,,13-Apr,30-Apr,18-May,30-May,15-Jun,4-Jul,18-Jul,1-Aug,,,,,,,,
1,KY,,,21-Apr,11-May,19-May,29-May,5-Jun,19-Jun,4-Jul,19-Jul,,,,,,,,
1,LA,,,14-Apr,2-May,21-May,5-Jun,22-Jun,9-Jul,29-Jul,13-Aug,,,,,,,,
1,ME,,,10-Apr,18-Apr,7-May,14-May,27-May,15-Jun,5-Jul,20-Jul,,,,,,,,
1,MD,,,17-Apr,2-May,20-May,2-Jun,11-Jun,1-Jul,10-Jul,18-Jul,,,,,,,,
1,MA,,,21-Apr,29-Apr,14-May,28-May,6-Jun,15-Jun,28-Jun,6-Jul,,,,,,,,
1,MI,,,10-Apr,30-Apr,20-May,9-Jun,27-Jun,14-Jul,26-Jul,7-Aug,,,,,,,,
1,MN,,,8-Apr,15-Apr,27-Apr,9-May,24-May,8-Jun,22-Jun,8-Jul,,,,,,,,
1,MS,,,18-Apr,1-May,17-May,24-May,2-Jun,19-Jun,28-Jun,14-Jul,,,,,,,,
1,MO,,,13-Apr,24-Apr,9-May,21-May,2-Jun,11-Jun,22-Jun,30-Jun,,,,,,,,
1,MT,,,10-Apr,22-Apr,2-May,21-May,28-May,10-Jun,25-Jun,13-Jul,,,,,,,,
1,NE,,,11-Apr,30-Apr,17-May,31-May,14-Jun,27-Jun,13-Jul,31-Jul,,,,,,,,
1,NV,,,15-Apr,22-Apr,8-May,21-May,4-Jun,18-Jun,30-Jun,10-Jul,,,,,,,,
1,NH,,,19-Apr,26-Apr,15-May,22-May,5-Jun,25-Jun,6-Jul,14-Jul,,,,,,,,
1,NJ,,,10-Apr,20-Apr,4-May,20-May,8-Jun,18-Jun,1-Jul,16-Jul,,,,,,,,
1,NM,,,10-Apr,25-Apr,6-May,20-May,30-May,15-Jun,2-Jul,20-Jul,,,,,,,,
1,NY,,,18-Apr,25-Apr,6-May,22-May,9-Jun,25-Jun,2-Jul,13-Jul,,,,,,,,
1,NC,,,16-Apr,26-Apr,5-May,22-May,4-Jun,14-Jun,2-Jul,13-Jul,,,,,,,,
1,ND,,,17-Apr,24-Apr,8-May,26-May,4-Jun,11-Jun,18-Jun,27-Jun,,,,,,,,
1,OH,,,9-Apr,20-Apr,7-May,15-May,25-May,2-Jun,9-Jun,16-Jun,,,,,,,,
1,OK,,,12-Apr,26-Apr,12-May,29-May,7-Jun,22-Jun,4-Jul,21-Jul,,,,,,,,
1,OR,,,14-Apr,25-Apr,10-May,25-May,10-Jun,18-Jun,29-Jun,6-Jul,,,,,,,,
1,PA,,,13-Apr,30-Apr,8-May,25-May,10-Jun,18-Jun,26-Jun,3-Jul,,,,,,,,
1,RI,,,13-Apr,24-Apr,13-May,31-May,9-Jun,26-Jun,6-Jul,24-Jul,,,,,,,,
1,SC,,,12-Apr,30-Apr,13-May,25-May,12-Jun,1-Jul,18-Jul,25-Jul,,,,,,,,
1,SD,,,14-Apr,25-Apr,10-May,23-May,7-Jun,26-Jun,8-Jul,23-Jul,,,,,,,,
1,TN,,,18-Apr,8-May,24-May,2-Jun,19-Jun,7-Jul,23-Jul,30-Jul,,,,,,,,
1,TX,,,14-Apr,22-Apr,10-May,19-May,29-May,14-Jun,21-Jun,29-Jun,,,,,,,,
1,UT,,,12-Apr,24-Apr,3-May,13-May,31-May,12-Jun,2-Jul,10-Jul,,,,,,,,
1,VT,,,15-Apr,22-Apr,7-May,16-May,2-Jun,13-Jun,28-Jun,15-Jul,,,,,,,,
1,VA,,,11-Apr,18-Apr,30-Apr,20-May,8-Jun,16-Jun,23-Jun,11-Jul,,,,,,,,
1,WA,,,21-Apr,4-May,17-May,27-May,9-Jun,23-Jun,11-Jul,30-Jul,,,,,,,,
1,WV,,,8-Apr,22-Apr,5-May,12-May,26-May,5-Jun,13-Jun,3-Jul,,,,,,,,
1,WI,,,18-Apr,27-Apr,6-May,17-May,25-May,12-Jun,28-Jun,12-Jul,,,,,,,,
1,WY,,,11-Apr,18-Apr,28-Apr,9-May,19-May,28-May,12-Jun,26-Jun,,,,,,,,
2,AL,,,20-Apr,8-May,24-May,1-Jun,14-Jun,3-Jul,18-Jul,30-Jul,,,,,,,,
2,AZ,,,18-Apr,3-May,15-May,22-May,7-Jun,17-Jun,24-Jun,6-Jul,,,,,,,,
2,AR,,,8-Apr,22-Apr,30-Apr,9-May,19-May,3-Jun,20-Jun,8-Jul,,,,,,,,
2,CA,,,18-Apr,25-Apr,12-May,30-May,9-Jun,25-Jun,4-Jul,12-Jul,,,,,,,,
2,CO,,,8-Apr,17-Apr,2-May,12-May,30-May,16-Jun,5-Jul,12-Jul,,,,,,,,
2,CT,,,11-Apr,22-Apr,7-May,27-May,6-Jun,19-Jun,28-Jun,10-Jul,,,,,,,,
2,DE,,,18-Apr,28-Apr,9-May,26-May,4-Jun,17-Jun,30-Jun,13-Jul,,,,,,,,
2,FL,,,11-Apr,30-Apr,12-May,28-May,11-Jun,18-Jun,6-Jul,17-Jul,,,,,,,,
