internal_name,external_name,data_type,data_source,source_table,depth_weight,monthly,horizontal,condensed_ssurgo,condensed_nhd,flow_file,pwc_ssurgo,sam_ssurgo,pwc_scenario,sam_scenario,range_min,range_max,general_min,general_max,range_flag,general_flag,blank_flag,fill_value
amxdr,amxdr,np.float32,Tables,CropParams,0,0,0,0,0,0,0,0,20,1,0,100,0,0,2,0,2,0
anetd,anetd,np.float32,Tables,MetParams,0,0,0,0,0,0,0,0,32,1,10,35,0,0,2,0,2,0
bd,dbthirdbar_r,np.float32,SSURGO,chorizon,1,0,1,0,0,0,1,1,42,1,0,2,1,2,2,1,2,0
bloom_begin,blmbeg,np.int16,Tables,CropDates,0,0,0,0,0,0,0,0,5,1,1,365,,,2,,2,0
bloom_end,blmend,np.int16,Tables,CropDates,0,0,0,0,0,0,0,0,6,1,1,365,,,2,,2,0
cdl,cdl,np.int16,Tables,CropParams,0,0,0,0,0,0,0,0,21,1,,,,,,,,
cfact_cov,cfact_cov,np.int32,Tables,CropParams,0,0,0,0,0,0,0,0,22,1,,,,,,,,
cfact_fal,cfact_fal,np.int32,Tables,CropParams,0,0,0,0,0,0,0,0,23,1,,,,,,,,
cintcp,cintcp,np.int32,Tables,CropParams,0,0,0,0,0,0,0,0,24,1,,,,,,,,
clay,claytotal_r,np.float32,SSURGO,chorizon,1,0,1,0,0,0,1,1,48,1,0,100,1,100,2,1,2,0
cn_ag,cn_ag,np.float32,process_ssurgo.py,None,0,0,0,0,0,0,0,0,35,1,30,95,0,0,0,0,2,1
cn_fallow,cn_fallow,np.float32,process_ssurgo.py,None,0,0,0,0,0,0,0,0,36,1,30,95,0,0,0,0,2,1
cokey,cokey,np.float32,SSURGO,chorizon,0,0,0,0,0,0,1,0,2,0,,,,,,,,
covmax,covmax,np.int32,Tables,CropParams,0,0,0,0,0,0,0,0,25,1,1,,,,,,,
crop_prac,cropprac,np.int32,Tables,CropDatesOld,0,0,0,0,0,0,0,0,7,1,0.5,1,0,0,2,0,2,0
fc,wthirdbar_r,np.float32,SSURGO,chorizon,1,0,1,0,0,0,1,1,43,1,0,1,,,2,,2,0
gen_class,gen_class,np.int32,Tables,CropParams,0,0,0,0,0,0,0,0,26,1,,,,,,,,
harvest_begin,harvbeg,np.int16,Tables,CropDates,0,0,0,0,0,0,0,0,8,1,1,365,,,2,,2,0
harvest_begin_active,harvbegAct,np.int16,Tables,CropDates,0,0,0,0,0,0,0,0,9,1,1,365,,,2,,2,0
harvest_end,harvend,np.int16,Tables,CropDates,0,0,0,0,0,0,0,0,10,1,1,365,,,2,,2,0
harvest_end_active,harvendAct,np.int16,Tables,CropDates,0,0,0,0,0,0,0,0,11,1,1,365,,,2,,2,0
hydro_group,hydgrp,str,SSURGO,component,0,0,0,1,0,0,1,1,28,0,,,,,,,,
irr_pct,irr_pct,np.float32,Tables,CropDatesOld,0,0,0,0,0,0,0,0,12,1,0,100,0,0,2,0,2,0
irr_type,irr_type,np.int32,Tables,CropDatesOld,0,0,0,0,0,0,0,0,13,1,0,2,0,0,2,0,2,0
kwfact,kwfact,np.float32,SSURGO,chorizon,0,0,0,0,0,0,1,1,29,1,0,0.64,,,2,0,2,0
mannings_n,mannings_n,np.int32,Tables,CropParams,0,0,0,0,0,0,0,0,30,1,,,,,,,,
maxcover_begin,matbeg,np.int16,Tables,CropDates,0,0,0,0,0,0,0,0,14,1,1,365,,,2,,2,0
maxcover_end,matend,np.int16,Tables,CropDates,0,0,0,0,0,0,0,0,15,1,1,365,,,2,,2,0
mukey,mukey,str,SSURGO,component,0,0,0,0,0,0,1,0,3,0,,,,,,,,
orgC,om_r,np.float32,SSURGO,chorizon,1,0,1,0,0,0,1,1,45,1,0,100,0.1,50,2,1,2,0
pH,ph1to1h2o_r,np.float32,SSURGO,chorizon,1,0,1,0,0,0,1,1,46,1,0,12,4,9,2,1,2,0
plant_begin,plntbeg,np.int16,Tables,CropDates,0,0,0,0,0,0,0,0,16,1,1,365,,,2,,2,0
plant_end,plntend,np.int16,Tables,CropDates,0,0,0,0,0,0,0,0,17,1,1,365,,,2,,2,0
rainfall,rainfall,np.float32,Tables,MetParams,0,0,0,0,0,0,0,0,33,1,1,5,0,0,2,0,2,0
root_zone_max,rootznemc,np.float32,SSURGO,valu1,0,0,0,0,0,0,1,1,19,1,0,150,0,0,2,0,2,0
sand,sandtotal_r,np.float32,SSURGO,chorizon,1,0,1,0,0,0,1,1,47,1,0,100,1,100,2,1,2,0
scenario_id,scenario_id,str,scenarios_and_recipes.py,None,0,0,0,0,0,0,0,0,39,1,,,,,,,,
season,seasAbb,np.int32,Tables,CropDatesOld,0,0,0,0,0,0,0,0,18,1,,,,,,,,
sfac,sfac,np.float32,Tables,MetParams,0,0,0,0,0,0,0,0,34,1,0.16,0.36,0,0,2,0,2,0
slope,slopegradwta,np.float32,SSURGO,muaggatt,0,0,0,0,0,0,1,1,27,1,0,100,0,0,2,0,2,0
slope_length,slopelenusle_r,np.float32,SSURGO,component,0,0,0,0,0,0,1,1,31,1,0,100,0,0,2,0,2,0
state,state,str,process_ssurgo.py,None,0,0,0,1,0,0,1,0,1,0,,,,,,,,
uslels,uslels,np.float32,process_ssurgo.py,None,0,0,0,0,0,0,1,1,37,1,0.07,31,0,0,2,0,2,0
uslep,uslep,np.float32,process_ssurgo.py,None,0,0,0,0,0,0,1,1,38,1,0.5,1,0,0,2,0,2,0
weather_grid,WeatherID,str,Tables,CropDatesOld,0,0,0,0,0,0,0,0,4,1,,,,,,,,
wp,wfifteenbar_r,np.float32,SSURGO,chorizon,1,0,1,0,0,0,1,1,44,1,0,1,,,2,,2,0
aggregation_key,aggregation_key,str,process_ssurgo.py,None,0,0,0,0,0,0,0,0,0,0,,,,,,,,
n_horizons,n_horizons,np.int32,process_ssurgo.py,None,0,0,0,0,0,0,1,0,40,0,,,,,,,,
thickness,thickness,np.int33,process_ssurgo.py,None,0,0,1,0,0,0,1,0,41,0,,,,,,,,
cn_ag_A,cn_ag_A,np.int32,Tables,CurveNumbers,0,0,0,0,0,0,0,0,0,0,,,,,,,,
cn_ag_B,cn_ag_B,np.int32,Tables,CurveNumbers,0,0,0,0,0,0,0,0,0,0,,,,,,,,
cn_ag_C,cn_ag_C,np.int32,Tables,CurveNumbers,0,0,0,0,0,0,0,0,0,0,,,,,,,,
cn_ag_D,cn_ag_D,np.int32,Tables,CurveNumbers,0,0,0,0,0,0,0,0,0,0,,,,,,,,
cn_fallow_A,cn_fallow_A,np.int32,Tables,CurveNumbers,0,0,0,0,0,0,0,0,0,0,,,,,,,,
cn_fallow_B,cn_fallow_B,np.int32,Tables,CurveNumbers,0,0,0,0,0,0,0,0,0,0,,,,,,,,
cn_fallow_C,cn_fallow_C,np.int32,Tables,CurveNumbers,0,0,0,0,0,0,0,0,0,0,,,,,,,,
cn_fallow_D,cn_fallow_D,np.int32,Tables,CurveNumbers,0,0,0,0,0,0,0,0,0,0,,,,,,,,
cokey,cokey,str,SSURGO,component,0,0,0,0,0,0,0,0,0,0,,,,,,,,
comid,comid,str,NHD,EROM,0,0,0,0,1,1,0,0,0,0,,,,,,,,
comid,comid,str,NHD,Flowline,0,0,0,0,0,0,0,0,0,0,,,,,,,,
comid,featureid,str,NHD,Gridcode,0,0,0,0,0,0,0,0,0,0,,,,,,,,
comid,fromcomid,str,NHD,PlusFlow,0,0,0,0,0,0,0,0,0,0,,,,,,,,
