,weather_grid,fips,county,state
6198,4421,12087,Monroe,FL
6200,4424,12087,Monroe,FL
6199,4425,12087,Monroe,FL
6202,4426,12087,Monroe,FL
6201,4427,12087,Monroe,FL
6205,4428,12087,Monroe,FL
6204,4429,12087,Monroe,FL
436,4663,12087,Monroe,FL
35,4665,12087,Monroe,FL
6203,4666,12087,Monroe,FL
6221,4900,12087,Monroe,FL
6219,4901,12087,Monroe,FL
6218,4902,12086,Miami-Dade,FL
6209,4903,12087,Monroe,FL
6216,5136,12087,Monroe,FL
6196,5137,12087,Monroe,FL
6215,5138,12086,Miami-Dade,FL
6195,5139,12086,Miami-Dade,FL
6208,5140,12086,Miami-Dade,FL
6222,5371,12087,Monroe,FL
6214,5372,12087,Monroe,FL
6212,5373,12087,Monroe,FL
6211,5374,12086,Miami-Dade,FL
6207,5375,12086,Miami-Dade,FL
6206,5376,12086,Miami-Dade,FL
6188,5542,48061,Cameron,TX
6231,5543,48061,Cameron,TX
6233,5544,48061,Cameron,TX
6189,5605,12021,Collier,FL
6237,5606,12021,Collier,FL
438,5607,12021,Collier,FL
6245,5608,12021,Collier,FL
6191,5609,12086,Miami-Dade,FL
6242,5610,12086,Miami-Dade,FL
439,5611,12086,Miami-Dade,FL
6248,5612,12086,Miami-Dade,FL
6224,5774,48215,Hidalgo,TX
6223,5775,48215,Hidalgo,TX
6228,5776,48215,Hidalgo,TX
6226,5777,48215,Hidalgo,TX
6230,5778,48061,Cameron,TX
6229,5779,48061,Cameron,TX
6232,5780,48061,Cameron,TX
6234,5841,12021,Collier,FL
6236,5842,12021,Collier,FL
6235,5843,12021,Collier,FL
6241,5844,12021,Collier,FL
6239,5845,12011,Broward,FL
6238,5846,12011,Broward,FL
6247,5847,12011,Broward,FL
6246,5848,12011,Broward,FL
6302,6008,48427,Starr,TX
6301,6009,48427,Starr,TX
6300,6010,48427,Starr,TX
6297,6011,48215,Hidalgo,TX
6291,6012,48215,Hidalgo,TX
6290,6013,48489,Willacy,TX
6284,6014,48489,Willacy,TX
6281,6015,48061,Cameron,TX
6277,6016,48061,Cameron,TX
6275,6076,12071,Lee,FL
6273,6077,12071,Lee,FL
6271,6078,12021,Collier,FL
6269,6079,12021,Collier,FL
6263,6080,12051,Hendry,FL
6259,6081,12051,Hendry,FL
6257,6082,12099,Palm Beach,FL
6253,6083,12099,Palm Beach,FL
6251,6084,12099,Palm Beach,FL
6186,6244,48505,Zapata,TX
6296,6245,48427,Starr,TX
6185,6246,48427,Starr,TX
6293,6247,48215,Hidalgo,TX
6184,6248,48215,Hidalgo,TX
6286,6249,48261,Kenedy,TX
6182,6250,48261,Kenedy,TX
6279,6251,48261,Kenedy,TX
6276,6311,12071,Lee,FL
6272,6312,12071,Lee,FL
6181,6313,12071,Lee,FL
6265,6314,12071,Lee,FL
6179,6315,12051,Hendry,FL
6256,6316,12051,Hendry,FL
6178,6317,12099,Palm Beach,FL
6255,6318,12099,Palm Beach,FL
6176,6319,12099,Palm Beach,FL
6250,6320,12099,Palm Beach,FL
6305,6479,48505,Zapata,TX
6304,6480,48505,Zapata,TX
6317,6481,48247,Jim Hogg,TX
6314,6482,48247,Jim Hogg,TX
6311,6483,48047,Brooks,TX
6326,6484,48047,Brooks,TX
6323,6485,48261,Kenedy,TX
6329,6486,48261,Kenedy,TX
6328,6487,48261,Kenedy,TX
6335,6547,12015,Charlotte,FL
6343,6548,12015,Charlotte,FL
6341,6549,12015,Charlotte,FL
6353,6550,12015,Charlotte,FL
6349,6551,12043,Glades,FL
6367,6552,12043,Glades,FL
6364,6553,12099,Palm Beach,FL
6360,6554,12099,Palm Beach,FL
6372,6555,12099,Palm Beach,FL
6370,6556,12099,Palm Beach,FL
6303,6715,48505,Zapata,TX
6169,6716,48505,Zapata,TX
6309,6717,48247,Jim Hogg,TX
435,6718,48247,Jim Hogg,TX
6306,6719,48047,Brooks,TX
6170,6720,48047,Brooks,TX
6319,6721,48261,Kenedy,TX
443,6722,48261,Kenedy,TX
6327,6723,48261,Kenedy,TX
6171,6782,12115,Sarasota,FL
6331,6783,12115,Sarasota,FL
6337,6784,12115,Sarasota,FL
441,6785,12027,DeSoto,FL
6346,6786,12027,DeSoto,FL
6172,6787,12055,Highlands,FL
6358,6788,12043,Glades,FL
430,6789,12093,Okeechobee,FL
6355,6790,12085,Martin,FL
6174,6791,12085,Martin,FL
6368,6792,12085,Martin,FL
6490,6950,48479,Webb,TX
6485,6951,48479,Webb,TX
6483,6952,48479,Webb,TX
6476,6953,48479,Webb,TX
6473,6954,48131,Duval,TX
6471,6955,48131,Duval,TX
6463,6956,48249,Jim Wells,TX
6458,6957,48273,Kleberg,TX
6448,6958,48273,Kleberg,TX
6446,6959,48273,Kleberg,TX
6428,7018,12081,Manatee,FL
6427,7019,12115,Sarasota,FL
6418,7020,12081,Manatee,FL
6416,7021,12049,Hardee,FL
6407,7022,12049,Hardee,FL
6405,7023,12055,Highlands,FL
6398,7024,12055,Highlands,FL
6395,7025,12093,Okeechobee,FL
6394,7026,12111,St. Lucie,FL
6378,7027,12111,St. Lucie,FL
6376,7028,12111,St. Lucie,FL
6489,7185,48479,Webb,TX
6168,7186,48479,Webb,TX
6482,7187,48479,Webb,TX
6167,7188,48479,Webb,TX
6469,7189,48479,Webb,TX
6166,7190,48131,Duval,TX
6468,7191,48131,Duval,TX
6165,7192,48249,Jim Wells,TX
6454,7193,48355,Nueces,TX
6161,7194,48355,Nueces,TX
6443,7195,48355,Nueces,TX
6437,7196,48355,Nueces,TX
6431,7253,12103,Pinellas,FL
6160,7254,12081,Manatee,FL
6425,7255,12081,Manatee,FL
6414,7256,12081,Manatee,FL
6157,7257,12049,Hardee,FL
6404,7258,12049,Hardee,FL
6154,7259,12055,Highlands,FL
6389,7260,12093,Okeechobee,FL
6151,7261,12093,Okeechobee,FL
6387,7262,12061,Indian River,FL
6149,7263,12061,Indian River,FL
6488,7421,48479,Webb,TX
6487,7422,48479,Webb,TX
6481,7423,48479,Webb,TX
6480,7424,48479,Webb,TX
6466,7425,48479,Webb,TX
6465,7426,48131,Duval,TX
6464,7427,48131,Duval,TX
6453,7428,48249,Jim Wells,TX
6450,7429,48355,Nueces,TX
6442,7430,48355,Nueces,TX
6439,7431,48409,San Patricio,TX
6434,7432,48409,San Patricio,TX
6433,7433,48007,Aransas,TX
6430,7489,12103,Pinellas,FL
6422,7490,12103,Pinellas,FL
6421,7491,12057,Hillsborough,FL
6411,7492,12057,Hillsborough,FL
6409,7493,12105,Polk,FL
6401,7494,12105,Polk,FL
6399,7495,12105,Polk,FL
6385,7496,12097,Osceola,FL
6382,7497,12097,Osceola,FL
6379,7498,12009,Brevard,FL
6374,7499,12061,Indian River,FL
444,7655,48323,Maverick,TX
6495,7656,48479,Webb,TX
6500,7657,48479,Webb,TX
6140,7658,48479,Webb,TX
6505,7659,48283,La Salle,TX
445,7660,48283,La Salle,TX
6516,7661,48283,La Salle,TX
6141,7662,48311,McMullen,TX
6512,7663,48311,McMullen,TX
449,7664,48297,Live Oak,TX
6525,7665,48297,Live Oak,TX
6143,7666,48409,San Patricio,TX
6531,7667,48409,San Patricio,TX
6544,7668,48391,Refugio,TX
450,7669,48007,Aransas,TX
6548,7670,48057,Calhoun,TX
6551,7725,12103,Pinellas,FL
453,7726,12057,Hillsborough,FL
6557,7727,12057,Hillsborough,FL
