,cdl,irrigation_flag,irrigation_type,irrigated_fraction,above_canopy_acres,below_canopy_acres,state
0,1,1,over,0.425,33624,84,AL
1,1,0,,0.0,0,0,AK
2,1,1,over,1.0,49488,26958,AZ
3,1,1,under,0.9840000000000001,151517,548297,AR
4,1,1,under,1.0,42866,473046,CA
5,1,1,over,0.8540000000000001,590081,97041,CO
6,1,0,,0.024,36,24,CT
7,1,1,over,0.527,60891,0,DE
8,1,1,over,0.7659999999999999,38353,1540,FL
9,1,1,over,0.879,269213,0,GA
10,1,1,over,1.0,3092,2221,HI
11,1,1,over,0.995,251914,83450,ID
12,1,1,over,0.414,372459,3484,IL
13,1,0,,0.36200000000000004,313915,4010,IN
14,1,0,,0.335,118574,120,IA
15,1,1,over,0.665,1588826,24888,KS
16,1,0,,0.19899999999999998,28257,0,KY
17,1,1,under,0.7829999999999999,62576,237687,LA
18,1,1,over,0.925,37,0,ME
19,1,1,over,0.425,45233,334,MD
20,1,0,,0.226,7,0,MA
21,1,1,over,0.498,310715,626,MI
22,1,0,,0.386,284396,0,MN
23,1,1,under,0.841,140637,381841,MS
24,1,1,over,0.7020000000000001,190355,160570,MO
25,1,1,over,0.878,39434,38258,MT
26,1,1,over,0.7859999999999999,5169273,479904,NE
27,1,1,under,1.0,4714,9539,NV
28,1,0,,0.0,0,0,NH
29,1,1,over,0.42,8246,440,NJ
30,1,1,over,0.993,110759,13139,NM
31,1,0,,0.08800000000000001,3416,0,NY
32,1,0,,0.38299999999999995,28890,0,NC
33,1,0,,0.306,93535,1944,ND
34,1,0,,0.207,11434,0,OH
35,1,1,over,0.9079999999999999,118927,1775,OK
36,1,1,over,0.981,54885,17074,OR
37,1,0,,0.066,3095,0,PA
38,1,0,,0.0,0,0,RI
39,1,1,over,0.479,43342,0,SC
40,1,0,,0.325,204737,6868,SD
41,1,0,,0.376,70041,0,TN
42,1,1,over,0.878,872367,79177,TX
43,1,1,under,0.9840000000000001,43156,51336,UT
44,1,0,,0.0,0,0,VT
45,1,0,,0.271,16317,0,VA
46,1,1,over,0.915,142486,22683,WA
47,1,1,over,0.522,528,0,WV
48,1,1,over,0.434,172767,0,WI
49,1,1,over,0.993,54230,36945,WY
50,2,0,,0.204,11500,654,AL
51,2,0,,0.0,0,0,AK
52,2,1,under,1.0,19383,152519,AZ
53,2,1,under,0.927,117414,129428,AR
54,2,1,under,1.0,37371,237463,CA
55,2,0,,0.0,0,0,CO
56,2,0,,0.0,0,0,CT
57,2,0,,0.0,0,0,DE
58,2,1,over,0.406,16771,180,FL
59,2,1,over,0.488,361858,450,GA
60,2,0,,0.0,0,0,HI
61,2,0,,0.0,0,0,ID
62,2,1,under,1.0,0,286,IL
63,2,0,,0.0,0,0,IN
64,2,0,,0.0,0,0,IA
65,2,1,over,1.0,11561,2396,KS
66,2,0,,0.0,0,0,KY
67,2,1,under,0.47100000000000003,8745,26928,LA
68,2,0,,0.0,0,0,ME
69,2,0,,0.0,0,0,MD
70,2,0,,0.0,0,0,MA
71,2,0,,0.0,0,0,MI
72,2,0,,0.0,0,0,MN
73,2,1,over,0.616,72712,51884,MS
74,2,1,under,0.8809999999999999,62911,117217,MO
75,2,0,,0.0,0,0,MT
76,2,0,,0.0,0,0,NE
77,2,0,,0.0,0,0,NV
78,2,0,,0.0,0,0,NH
79,2,0,,0.0,0,0,NJ
80,2,1,over,0.985,22612,10836,NM
81,2,0,,0.0,0,0,NY
82,2,0,,0.191,12784,473,NC
83,2,0,,0.0,0,0,ND
84,2,0,,0.0,0,0,OH
85,2,1,over,0.691,24287,2149,OK
86,2,0,,0.0,0,0,OR
87,2,0,,0.0,0,0,PA
88,2,0,,0.0,0,0,RI
89,2,0,,0.226,15184,453,SC
90,2,0,,0.0,0,0,SD
91,2,0,,0.151,10184,1333,TN
92,2,1,over,0.585,1205009,212875,TX
93,2,0,,0.0,0,0,UT
94,2,0,,0.0,0,0,VT
95,2,0,,0.0,0,0,VA
96,2,0,,0.0,0,0,WA
97,2,0,,0.0,0,0,WV
98,2,0,,0.0,0,0,WI
99,2,0,,0.0,0,0,WY
100,3,0,,0.0,0,0,AL
101,3,0,,0.0,0,0,AK
102,3,0,,0.0,0,0,AZ
103,3,1,under,1.0,11897,1282609,AR
104,3,1,under,1.0,0,1051374,CA
105,3,0,,0.0,0,0,CO
106,3,0,,0.0,0,0,CT
107,3,0,,0.0,0,0,DE
108,3,1,under,1.0,0,4250,FL
109,3,0,,0.0,0,0,GA
110,3,1,under,1.0,0,100,HI
111,3,0,,0.0,0,0,ID
112,3,1,under,1.0,0,750,IL
113,3,0,,0.0,0,0,IN
114,3,0,,0.0,0,0,IA
115,3,0,,0.0,0,0,KS
116,3,0,,0.0,0,0,KY
117,3,1,under,1.0,4618,444267,LA
118,3,0,,0.0,0,0,ME
119,3,0,,0.0,0,0,MD
120,3,0,,0.0,0,0,MA
121,3,0,,0.0,0,0,MI
122,3,0,,0.0,0,0,MN
123,3,1,under,1.0,0,108920,MS
124,3,1,under,1.0,12975,120805,MO
125,3,0,,0.0,0,0,MT
126,3,0,,0.0,0,0,NE
127,3,0,,0.0,0,0,NV
128,3,0,,0.0,0,0,NH
129,3,0,,0.0,0,0,NJ
130,3,0,,0.0,0,0,NM
131,3,0,,0.0,0,0,NY
132,3,0,,0.0,0,0,NC
