weather_grid (Trip)	stationID (Meridith)	lat	lon
26	5780	26.125	-97.125
25	5779	26.125	-97.375
24	5778	26.125	-97.625
23	5777	26.125	-97.875
22	5776	26.125	-98.125
1	4900	25.125	-81.125
2	4901	25.125	-80.875
3	4902	25.125	-80.625
4	4903	25.125	-80.375
41	6016	26.375	-97.125
40	6015	26.375	-97.375
39	6014	26.375	-97.625
38	6013	26.375	-97.875
37	6012	26.375	-98.125
36	6011	26.375	-98.375
35	6010	26.375	-98.625
5	5136	25.375	-81.125
6	5137	25.375	-80.875
7	5138	25.375	-80.625
8	5139	25.375	-80.375
57	6251	26.625	-97.375
56	6250	26.625	-97.625
55	6249	26.625	-97.875
54	6248	26.625	-98.125
53	6247	26.625	-98.375
52	6246	26.625	-98.625
9	5371	25.625	-81.375
51	6245	26.625	-98.875
50	6244	26.625	-99.125
10	5372	25.625	-81.125
11	5373	25.625	-80.875
12	5374	25.625	-80.625
13	5375	25.625	-80.375
14	5376	25.625	-80.125
15	5606	25.875	-81.625
74	6487	26.875	-97.375
73	6486	26.875	-97.625
72	6485	26.875	-97.875
71	6484	26.875	-98.125
70	6483	26.875	-98.375
69	6482	26.875	-98.625
16	5607	25.875	-81.375
68	6481	26.875	-98.875
67	6480	26.875	-99.125
17	5608	25.875	-81.125
18	5609	25.875	-80.875
19	5610	25.875	-80.625
20	5611	25.875	-80.375
27	5841	26.125	-81.875
21	5612	25.875	-80.125
28	5842	26.125	-81.625
93	6723	27.125	-97.375
92	6722	27.125	-97.625
91	6721	27.125	-97.875
90	6720	27.125	-98.125
89	6719	27.125	-98.375
29	5843	26.125	-81.375
88	6718	27.125	-98.625
87	6717	27.125	-98.875
86	6716	27.125	-99.125
85	6715	27.125	-99.375
30	5844	26.125	-81.125
31	5845	26.125	-80.875
32	5846	26.125	-80.625
33	5847	26.125	-80.375
42	6077	26.375	-81.875
34	5848	26.125	-80.125
43	6078	26.375	-81.625
112	6959	27.375	-97.375
111	6958	27.375	-97.625
110	6957	27.375	-97.875
109	6956	27.375	-98.125
44	6079	26.375	-81.375
108	6955	27.375	-98.375
107	6954	27.375	-98.625
106	6953	27.375	-98.875
105	6952	27.375	-99.125
104	6951	27.375	-99.375
45	6080	26.375	-81.125
46	6081	26.375	-80.875
47	6082	26.375	-80.625
58	6312	26.625	-82.125
48	6083	26.375	-80.375
59	6313	26.625	-81.875
49	6084	26.375	-80.125
60	6314	26.625	-81.625
133	7196	27.625	-97.125
132	7195	27.625	-97.375
131	7194	27.625	-97.625
130	7193	27.625	-97.875
129	7192	27.625	-98.125
61	6315	26.625	-81.375
128	7191	27.625	-98.375
127	7190	27.625	-98.625
126	7189	27.625	-98.875
125	7188	27.625	-99.125
124	7187	27.625	-99.375
62	6316	26.625	-81.125
63	6317	26.625	-80.875
64	6318	26.625	-80.625
75	6547	26.875	-82.375
65	6319	26.625	-80.375
76	6548	26.875	-82.125
77	6549	26.875	-81.875
66	6320	26.625	-80.125
78	6550	26.875	-81.625
157	7433	27.875	-96.875
156	7432	27.875	-97.125
155	7431	27.875	-97.375
154	7430	27.875	-97.625
153	7429	27.875	-97.875
79	6551	26.875	-81.375
152	7428	27.875	-98.125
151	7427	27.875	-98.375
150	7426	27.875	-98.625
149	7425	27.875	-98.875
148	7424	27.875	-99.125
147	7423	27.875	-99.375
80	6552	26.875	-81.125
146	7422	27.875	-99.625
145	7421	27.875	-99.875
81	6553	26.875	-80.875
82	6554	26.875	-80.625
94	6783	27.125	-82.375
83	6555	26.875	-80.375
95	6784	27.125	-82.125
96	6785	27.125	-81.875
84	6556	26.875	-80.125
97	6786	27.125	-81.625
182	7670	28.125	-96.625
181	7669	28.125	-96.875
180	7668	28.125	-97.125
179	7667	28.125	-97.375
178	7666	28.125	-97.625
98	6787	27.125	-81.375
177	7665	28.125	-97.875
176	7664	28.125	-98.125
175	7663	28.125	-98.375
174	7662	28.125	-98.625
173	7661	28.125	-98.875
172	7660	28.125	-99.125
99	6788	27.125	-81.125
171	7659	28.125	-99.375
170	7658	28.125	-99.625
169	7657	28.125	-99.875
100	6789	27.125	-80.875
113	7018	27.375	-82.625
101	6790	27.125	-80.625
114	7019	27.375	-82.375
102	6791	27.125	-80.375
115	7020	27.375	-82.125
116	7021	27.375	-81.875
103	6792	27.125	-80.125
117	7022	27.375	-81.625
208	7907	28.375	-96.375
207	7906	28.375	-96.625
206	7905	28.375	-96.875
205	7904	28.375	-97.125
204	7903	28.375	-97.375
118	7023	27.375	-81.375
203	7902	28.375	-97.625
202	7901	28.375	-97.875
201	7900	28.375	-98.125
200	7899	28.375	-98.375
199	7898	28.375	-98.625
198	7897	28.375	-98.875
197	7896	28.375	-99.125
119	7024	27.375	-81.125
196	7895	28.375	-99.375
195	7894	28.375	-99.625
134	7253	27.625	-82.875
194	7893	28.375	-99.875
193	7892	28.375	-100.125
120	7025	27.375	-80.875
135	7254	27.625	-82.625
121	7026	27.375	-80.625
136	7255	27.625	-82.375
122	7027	27.375	-80.375
137	7256	27.625	-82.125
138	7257	27.625	-81.875
123	7028	27.375	-80.125
139	7258	27.625	-81.625
235	8144	28.625	-96.125
236	8145	28.625	-95.875
234	8143	28.625	-96.375
233	8142	28.625	-96.625
232	8141	28.625	-96.875
231	8140	28.625	-97.125
140	7259	27.625	-81.375
230	8139	28.625	-97.375
229	8138	28.625	-97.625
228	8137	28.625	-97.875
227	8136	28.625	-98.125
226	8135	28.625	-98.375
225	8134	28.625	-98.625
224	8133	28.625	-98.875
141	7260	27.625	-81.125
