,stationID,anetd,lat_x,lon_x,rainfall,MLRA
0,5137,32.5,25.375,279.125,4,156A
1,5138,32.5,25.375,279.375,4,156A
2,5139,32.5,25.375,279.625,4,156A
3,5372,32.5,25.625,278.875,4,156A
4,5373,32.5,25.625,279.125,4,156A
5,5374,32.5,25.625,279.375,4,156A
6,5375,32.5,25.625,279.625,4,156A
7,5607,32.5,25.875,278.625,4,156A
8,5608,32.5,25.875,278.875,4,156A
9,5609,32.5,25.875,279.125,4,156A
10,5610,32.5,25.875,279.375,4,156A
11,5611,32.5,25.875,279.625,4,156A
12,5776,32.5,26.125,261.875,4,83D
13,5777,32.5,26.125,262.125,4,83D
14,5778,32.5,26.125,262.375,4,83D
15,5779,32.5,26.125,262.625,4,150B
16,5842,32.5,26.125,278.375,4,155
17,5843,32.5,26.125,278.625,4,156A
18,5844,32.5,26.125,278.875,4,156A
19,5845,32.5,26.125,279.125,4,156A
20,5846,32.5,26.125,279.375,4,156A
21,5847,32.5,26.125,279.625,4,156A
22,5848,32.5,26.125,279.875,4,155
23,6009,32.5,26.375,261.125,4,83D
24,6010,32.5,26.375,261.375,4,83D
25,6011,32.5,26.375,261.625,4,83D
26,6012,32.5,26.375,261.875,4,83D
27,6013,32.5,26.375,262.125,4,83D
28,6014,32.5,26.375,262.375,4,83D
29,6078,32.5,26.375,278.375,4,156A
30,6079,32.5,26.375,278.625,4,155
31,6080,32.5,26.375,278.875,4,155
32,6081,32.5,26.375,279.125,4,156A
33,6082,32.5,26.375,279.375,4,156A
34,6083,32.5,26.375,279.625,4,156A
35,6084,32.5,26.375,279.875,4,155
36,6244,32.5,26.625,260.875,4,83B
37,6245,32.5,26.625,261.125,4,83B
38,6246,32.5,26.625,261.375,4,83D
39,6247,32.5,26.625,261.625,4,83C
40,6248,32.5,26.625,261.875,4,83C
41,6249,32.5,26.625,262.125,4,83C
42,6250,32.5,26.625,262.375,4,83C
43,6312,32.5,26.625,277.875,4,155
44,6313,32.5,26.625,278.125,4,155
45,6314,32.5,26.625,278.375,4,155
46,6315,27.5,26.625,278.625,4,155
47,6316,27.5,26.625,278.875,4,155
48,6317,32.5,26.625,279.125,4,156A
49,6318,32.5,26.625,279.375,4,156A
50,6319,32.5,26.625,279.625,4,156A
51,6320,32.5,26.625,279.875,4,155
52,6480,32.5,26.875,260.875,4,83B
53,6481,32.5,26.875,261.125,4,83C
54,6482,32.5,26.875,261.375,4,83C
55,6483,32.5,26.875,261.625,4,83C
56,6484,32.5,26.875,261.875,4,83C
57,6485,32.5,26.875,262.125,4,83C
58,6486,32.5,26.875,262.375,4,83C
59,6487,32.5,26.875,262.625,4,150B
60,6549,27.5,26.875,278.125,4,155
61,6550,27.5,26.875,278.375,4,155
62,6551,27.5,26.875,278.625,4,155
63,6552,27.5,26.875,278.875,4,155
64,6553,27.5,26.875,279.125,4,155
65,6554,27.5,26.875,279.375,4,156A
66,6555,27.5,26.875,279.625,4,156B
67,6556,32.5,26.875,279.875,4,155
68,6715,32.5,27.125,260.625,4,83B
69,6716,32.5,27.125,260.875,4,83B
70,6717,32.5,27.125,261.125,4,83C
71,6718,32.5,27.125,261.375,4,83C
72,6719,32.5,27.125,261.625,4,83C
73,6720,32.5,27.125,261.875,4,83C
74,6721,32.5,27.125,262.125,4,83C
75,6722,32.5,27.125,262.375,4,83C
76,6783,27.5,27.125,277.625,3,155
77,6784,27.5,27.125,277.875,3,155
78,6785,27.5,27.125,278.125,4,155
79,6786,27.5,27.125,278.375,4,155
80,6787,27.5,27.125,278.625,4,154
81,6788,27.5,27.125,278.875,4,155
82,6789,27.5,27.125,279.125,4,155
83,6790,27.5,27.125,279.375,4,155
84,6791,27.5,27.125,279.625,4,156B
85,6951,32.5,27.375,260.625,4,83B
86,6952,32.5,27.375,260.875,4,83B
87,6953,32.5,27.375,261.125,4,83C
88,6954,32.5,27.375,261.375,4,83C
89,6955,32.5,27.375,261.625,4,83C
90,6956,32.5,27.375,261.875,4,83C
91,6957,32.5,27.375,262.125,4,83C
92,6958,32.5,27.375,262.375,4,150A
93,7019,27.5,27.375,277.625,3,155
94,7020,27.5,27.375,277.875,3,155
95,7021,27.5,27.375,278.125,3,155
96,7022,27.5,27.375,278.375,4,155
97,7023,27.5,27.375,278.625,4,154
98,7024,27.5,27.375,278.875,4,155
99,7025,27.5,27.375,279.125,4,155
100,7026,27.5,27.375,279.375,4,155
101,7027,27.5,27.375,279.625,4,156B
102,7187,32.5,27.625,260.625,4,83B
103,7188,32.5,27.625,260.875,4,83C
104,7189,32.5,27.625,261.125,4,83C
105,7190,32.5,27.625,261.375,4,83C
106,7191,32.5,27.625,261.625,4,83C
