weather_grid,stationID,lat,lon,anetd,fips,county,state,region,rainfall,,,,
1,4900,25.125,-81.125,0,0,,,,,,,,
2,4901,25.125,-80.875,0,0,,,,,,,,
3,4902,25.125,-80.625,0,0,,,,,,,,
4,4903,25.125,-80.375,0,0,,,,,,,,
5,5136,25.375,-81.125,0,0,,,,,,,,
9,5371,25.625,-81.375,0,0,,,,,,,,
14,5376,25.625,-80.125,0,0,,,,,,,,
15,5606,25.875,-81.625,0,0,,,,,,,,
21,5612,25.875,-80.125,0,0,,,,,,,,
26,5780,26.125,-97.125,0,0,,,,,,,,
27,5841,26.125,-81.875,0,0,,,,,,,,
40,6015,26.375,-97.375,0,0,,,,,,,,
41,6016,26.375,-97.125,0,0,,,,,,,,
42,6077,26.375,-81.875,0,0,,,,,,,,
57,6251,26.625,-97.375,0,0,,,,,,,,
58,6312,26.625,-82.125,0,0,,,,,,,,
74,6487,26.875,-97.375,0,0,,,,,,,,
75,6547,26.875,-82.375,0,0,,,,,,,,
76,6548,26.875,-82.125,0,0,,,,,,,,
93,6723,27.125,-97.375,0,0,,,,,,,,
103,6792,27.125,-80.125,0,0,,,,,,,,
112,6959,27.375,-97.375,0,0,,,,,,,,
123,7028,27.375,-80.125,0,0,,,,,,,,
133,7196,27.625,-97.125,0,0,,,,,,,,
134,7253,27.625,-82.875,0,0,,,,,,,,
135,7254,27.625,-82.625,0,0,,,,,,,,
155,7431,27.875,-97.375,0,0,,,,,,,,
156,7432,27.875,-97.125,0,0,,,,,,,,
157,7433,27.875,-96.875,0,0,,,,,,,,
158,7489,27.875,-82.875,0,0,,,,,,,,
168,7499,27.875,-80.375,0,0,,,,,,,,
180,7668,28.125,-97.125,0,0,,,,,,,,
182,7670,28.125,-96.625,0,0,,,,,,,,
183,7725,28.125,-82.875,0,0,,,,,,,,
208,7907,28.375,-96.375,0,0,,,,,,,,
236,8145,28.625,-95.875,0,0,,,,,,,,
266,8383,28.875,-95.375,0,0,,,,,,,,
267,8407,28.875,-89.375,0,0,,,,,,,,
276,8442,28.875,-80.625,0,0,,,,,,,,
301,8620,29.125,-95.125,0,0,,,,,,,,
302,8621,29.125,-94.875,0,0,,,,,,,,
303,8636,29.125,-91.125,0,0,,,,,,,,
305,8638,29.125,-90.625,0,0,,,,,,,,
306,8640,29.125,-90.125,0,0,,,,,,,,
308,8644,29.125,-89.125,0,0,,,,,,,,
309,8668,29.125,-83.125,0,0,,,,,,,,
310,8669,29.125,-82.875,0,0,,,,,,,,
318,8677,29.125,-80.875,0,0,,,,,,,,
348,8857,29.375,-94.875,0,0,,,,,,,,
349,8858,29.375,-94.625,0,0,,,,,,,,
350,8871,29.375,-91.375,0,0,,,,,,,,
356,8877,29.375,-89.875,0,0,,,,,,,,
358,8879,29.375,-89.375,0,0,,,,,,,,
359,8880,29.375,-89.125,0,0,,,,,,,,
360,8903,29.375,-83.375,0,0,,,,,,,,
402,9093,29.625,-94.875,0,0,,,,,,,,
405,9096,29.625,-94.125,0,0,,,,,,,,
406,9097,29.625,-93.875,0,0,,,,,,,,
407,9101,29.625,-92.875,0,0,,,,,,,,
412,9106,29.625,-91.625,0,0,,,,,,,,
420,9114,29.625,-89.625,0,0,,,,,,,,
421,9131,29.625,-85.375,0,0,,,,,,,,
422,9132,29.625,-85.125,0,0,,,,,,,,
423,9138,29.625,-83.625,0,0,,,,,,,,
433,9148,29.625,-81.125,0,0,,,,,,,,
494,9350,29.875,-89.625,0,0,,,,,,,,
496,9367,29.875,-85.375,0,0,,,,,,,,
500,9371,29.875,-84.375,0,0,,,,,,,,
501,9373,29.875,-83.875,0,0,,,,,,,,
572,9586,30.125,-89.625,0,0,,,,,,,,
573,9587,30.125,-89.375,0,0,,,,,,,,
574,9601,30.125,-85.875,0,0,,,,,,,,
575,9602,30.125,-85.625,0,0,,,,,,,,
656,9825,30.375,-88.875,0,0,,,,,,,,
658,9827,30.375,-88.375,0,0,,,,,,,,
660,9829,30.375,-87.875,0,0,,,,,,,,
664,9833,30.375,-86.875,0,0,,,,,,,,
665,9834,30.375,-86.625,0,0,,,,,,,,
666,9835,30.375,-86.375,0,0,,,,,,,,
686,9855,30.375,-81.375,0,0,,,,,,,,
781,10091,30.625,-81.375,0,0,,,,,,,,
878,10327,30.875,-81.375,0,0,,,,,,,,
976,10563,31.125,-81.375,0,0,,,,,,,,
1088,10800,31.375,-81.125,0,0,,,,,,,,
1204,11036,31.625,-81.125,0,0,,,,,,,,
1332,11273,31.875,-80.875,0,0,,,,,,,,
1464,11510,32.125,-80.625,0,0,,,,,,,,
1601,11747,32.375,-80.375,0,0,,,,,,,,
1602,11836,32.625,-117.125,0,0,,,,,,,,
1746,11985,32.625,-79.875,0,0,,,,,,,,
1747,12066,32.875,-118.625,0,0,,,,,,,,
1748,12067,32.875,-118.375,0,0,,,,,,,,
1749,12071,32.875,-117.375,0,0,,,,,,,,
1900,12222,32.875,-79.625,0,0,,,,,,,,
1901,12302,33.125,-118.625,0,0,,,,,,,,
1902,12307,33.125,-117.375,0,0,,,,,,,,
2055,12460,33.125,-79.125,0,0,,,,,,,,
2056,12538,33.375,-118.625,0,0,,,,,,,,
2058,12542,33.375,-117.625,0,0,,,,,,,,
2212,12696,33.375,-79.125,0,0,,,,,,,,
2213,12775,33.625,-118.375,0,0,,,,,,,,
2214,12776,33.625,-118.125,0,0,,,,,,,,
2371,12933,33.625,-78.875,0,0,,,,,,,,
2372,13004,33.875,-120.125,0,0,,,,,,,,
2373,13005,33.875,-119.875,0,0,,,,,,,,
2374,13006,33.875,-119.625,0,0,,,,,,,,
2535,13171,33.875,-78.375,0,0,,,,,,,,
2536,13172,33.875,-78.125,0,0,,,,,,,,
2537,13173,33.875,-77.875,0,0,,,,,,,,
2538,13240,34.125,-120.125,0,0,,,,,,,,
2539,13241,34.125,-119.875,0,0,,,,,,,,
2540,13242,34.125,-119.625,0,0,,,,,,,,
2707,13475,34.375,-120.375,0,0,,,,,,,,
2708,13476,34.375,-120.125,0,0,,,,,,,,
2709,13477,34.375,-119.875,0,0,,,,,,,,
2710,13478,34.375,-119.625,0,0,,,,,,,,
2878,13646,34.375,-77.625,0,0,,,,,,,,
