weather_grid,state,county,fips
24,TX,Cameron,48061
23,TX,Cameron,48061
22,TX,Hidalgo,48215
21,TX,Hidalgo,48215
38,TX,Willacy,48489
37,TX,Hidalgo,48215
36,TX,Hidalgo,48215
35,TX,Hidalgo,48215
34,TX,Starr,48427
4,FL,Monroe,12087
5,FL,Monroe,12087
6, , ,12086
7, , ,12086
55,TX,Kenedy,48261
54,TX,Kenedy,48261
53,TX,Hidalgo,48215
52,TX,Hidalgo,48215
51,TX,Starr,48427
50,TX,Starr,48427
49,TX,Zapata,48505
9,FL,Monroe,12087
10,FL,Monroe,12087
11, , ,12086
12, , ,12086
73,TX,Kenedy,48261
72,TX,Kenedy,48261
71,TX,Kenedy,48261
70,TX,Brooks,48047
69,TX,Brooks,48047
68,TX,Jim Hogg,48247
15,FL,Collier,12021
67,TX,Jim Hogg,48247
66,TX,Zapata,48505
16,FL,Collier,12021
17,FL,Collier,12021
18, , ,12086
19, , ,12086
20, , ,12086
27,FL,Collier,12021
92,TX,Kenedy,48261
91,TX,Kenedy,48261
90,TX,Kenedy,48261
89,TX,Brooks,48047
88,TX,Brooks,48047
28,FL,Collier,12021
87,TX,Jim Hogg,48247
86,TX,Jim Hogg,48247
85,TX,Zapata,48505
84,TX,Zapata,48505
29,FL,Collier,12021
30,FL,Broward,12011
31,FL,Broward,12011
32,FL,Broward,12011
33,FL,Broward,12011
42,FL,Collier,12021
110,TX,Kleberg,48273
109,TX,Kleberg,48273
108,TX,Jim Wells,48249
43,FL,Collier,12021
107,TX,Duval,48131
106,TX,Duval,48131
105,TX,Webb,48479
104,TX,Webb,48479
103,TX,Webb,48479
44,FL,Hendry,12051
45,FL,Palm Beach,12099
46,FL,Palm Beach,12099
57,FL,Lee,12071
47,FL,Palm Beach,12099
58,FL,Lee,12071
48,FL,Palm Beach,12099
59,FL,Lee,12071
131,TX,Nueces,48355
130,TX,Nueces,48355
129,TX,Nueces,48355
128,TX,Jim Wells,48249
60,FL,Hendry,12051
127,TX,Duval,48131
126,TX,Duval,48131
125,TX,Webb,48479
124,TX,Webb,48479
123,TX,Webb,48479
61,FL,Hendry,12051
62,FL,Palm Beach,12099
63,FL,Palm Beach,12099
64,FL,Palm Beach,12099
76,FL,Charlotte,12015
65,FL,Palm Beach,12099
77,FL,Charlotte,12015
153,TX,Nueces,48355
152,TX,Nueces,48355
78,FL,Glades,12043
151,TX,Jim Wells,48249
150,TX,Duval,48131
149,TX,Duval,48131
148,TX,Webb,48479
147,TX,Webb,48479
146,TX,Webb,48479
79,FL,Glades,12043
145,TX,Webb,48479
144,TX,Webb,48479
80,FL,Palm Beach,12099
81,FL,Palm Beach,12099
93,FL,Sarasota,12115
82,FL,Palm Beach,12099
94,FL,Sarasota,12115
95,FL,De Soto,12027
83,FL,Palm Beach,12099
96,FL,De Soto,12027
180,TX,Aransas,48007
178,TX,San Patricio,48409
177,TX,San Patricio,48409
97,FL,Highlands,12055
176,TX,San Patricio,48409
175,TX,Live Oak,48297
174,TX,McMullen,48311
173,TX,McMullen,48311
172,TX,La Salle,48283
171,TX,La Salle,48283
98,FL,Glades,12043
170,TX,La Salle,48283
169,TX,Webb,48479
168,TX,Webb,48479
99,FL,Glades,12043
112,FL,Sarasota,12115
100,FL,Martin,12085
113,FL,Sarasota,12115
101,FL,Martin,12085
114,FL,Manatee,12081
115,FL,Hardee,12049
116,FL,Hardee,12049
206,TX,Calhoun,48057
205,TX,Refugio,48391
204,TX,Refugio,48391
203,TX,Refugio,48391
117,FL,Highlands,12055
202,TX,Bee,48025
201,TX,Bee,48025
200,TX,Live Oak,48297
199,TX,McMullen,48311
198,TX,McMullen,48311
197,TX,La Salle,48283
196,TX,La Salle,48283
118,FL,Highlands,12055
195,TX,La Salle,48283
194,TX,Dimmit,48127
193,TX,Dimmit,48127
192,TX,Maverick,48323
119,FL,Okeechobee,12093
120,FL,St Lucie,12111
135,FL,Manatee,12081
121,FL,St Lucie,12111
136,FL,Manatee,12081
137,FL,Hardee,12049
138,FL,Hardee,12049
234,TX,Matagorda,48321
233,TX,Calhoun,48057
232,TX,Calhoun,48057
231,TX,Victoria,48469
230,TX,Victoria,48469
139,FL,Highlands,12055
229,TX,Goliad,48175
228,TX,Goliad,48175
227,TX,Bee,48025
226,TX,Live Oak,48297
225,TX,McMullen,48311
224,TX,McMullen,48311
223,TX,La Salle,48283
140,FL,Okeechobee,12093
222,TX,La Salle,48283
221,TX,La Salle,48283
220,TX,Dimmit,48127
219,TX,Dimmit,48127
141,FL,Okeechobee,12093
218,TX,Maverick,48323
217,TX,Maverick,48323
158,FL,Pinellas,12103
142,FL,Indian River,12061
159,FL,Hillsborough,12057
143,FL,Indian River,12061
160,FL,Hillsborough,12057
161,FL,Polk,12105
162,FL,Polk,12105
262,TX,Matagorda,48321
263,TX,Matagorda,48321
261,TX,Jackson,48239
264,TX,Matagorda,48321
260,TX,Jackson,48239
259,TX,Victoria,48469
163,FL,Polk,12105
258,TX,Victoria,48469
257,TX,Goliad,48175
256,TX,De Witt,48123
255,TX,Karnes,48255
254,TX,Karnes,48255
253,TX,Atascosa,48013
252,TX,Atascosa,48013
251,TX,Frio,48163
164,FL,Osceola,12097
250,TX,Frio,48163
249,TX,Frio,48163
248,TX,Zavala,48507
247,TX,Zavala,48507
165,FL,Osceola,12097
246,TX,Maverick,48323
183,FL,Hillsborough,12057
245,TX,Maverick,48323
166,FL,Brevard,12009
184,FL,Hillsborough,12057
185,FL,Hillsborough,12057
186,FL,Polk,12105
187,FL,Polk,12105
296,TX,Wharton,48481
297,TX,Matagorda,48321
295,TX,Wharton,48481
298,TX,Brazoria,48039
188,FL,Osceola,12097
294,TX,Jackson,48239
299,TX,Brazoria,48039
293,TX,Lavaca,48285
292,TX,De Witt,48123
291,TX,De Witt,48123
290,TX,Gonzales,48177
289,TX,Wilson,48493
288,TX,Wilson,48493
287,TX,Wilson,48493
286,TX,Atascosa,48013
189,FL,Osceola,12097
285,TX,Medina,48325
284,TX,Medina,48325
283,TX,Medina,48325
282,TX,Uvalde,48463
281,TX,Uvalde,48463
190,FL,Osceola,12097
280,TX,Kinney,48271
208,FL,Pasco,12101
279,TX,Kinney,48271
278,TX,Kinney,48271
191,FL,Brevard,12009
209,FL,Pasco,12101
303,LA,Terrebonne,22109
210,FL,Pasco,12101
211,FL,Lake,12069
306,LA,Plaquemines,22075
212,FL,Orange,12095
307,LA,Plaquemines,22075
277,TX,Brewster,48043
213,FL,Orange,12095
342,TX,Wharton,48481
343,TX,Fort Bend,48157
341,TX,Wharton,48481
344,TX,Fort Bend,48157
276,TX,Brewster,48043
340,TX,Lavaca,48285
345,TX,Brazoria,48039
339,TX,Lavaca,48285
346,TX,Galveston,48167
338,TX,Lavaca,48285
347,TX,Galveston,48167
337,TX,Gonzales,48177
336,TX,Gonzales,48177
335,TX,Wilson,48493
334,TX,Wilson,48493
333,TX,Bexar,48029
214,FL,Orange,12095
332,TX,Bexar,48029
331,TX,Medina,48325
330,TX,Medina,48325
329,TX,Medina,48325
328,TX,Uvalde,48463
215,FL,Brevard,12009
327,TX,Uvalde,48463
326,TX,Kinney,48271
236,FL,Hernando,12053
325,TX,Kinney,48271
324,TX,Kinney,48271
216,FL,Brevard,12009
323,TX,Val Verde,48465
350,LA,Terrebonne,22109
237,FL,Hernando,12053
351,LA,Terrebonne,22109
352,LA,Terrebonne,22109
238,FL,Sumter,12119
353,LA,Lafourche,22057
354,LA,Lafourche,22057
239,FL,Lake,12069
356,LA,Plaquemines,22075
357,LA,Plaquemines,22075
240,FL,Orange,12095
322,TX,Brewster,48043
321,TX,Brewster,48043
241,FL,Orange,12095
396,TX,Austin,48015
397,TX,Fort Bend,48157
320,TX,Brewster,48043
395,TX,Colorado,48089
398,TX,Fort Bend,48157
394,TX,Colorado,48089
399,TX,Harris,48201
393,TX,Lavaca,48285
400,TX,Harris,48201
392,TX,Lavaca,48285
391,TX,Gonzales,48177
402,TX,Chambers,48071
390,TX,Gonzales,48177
403,TX,Chambers,48071
389,TX,Guadalupe,48187
319,TX,Brewster,48043
388,TX,Guadalupe,48187
387,TX,Bexar,48029
242,FL,Seminole,12117
386,TX,Bexar,48029
318,TX,Presidio,48377
385,TX,Bandera,48019
384,TX,Bandera,48019
383,TX,Medina,48325
407,LA,Cameron,22023
382,TX,Uvalde,48463
408,LA,Vermilion,22113
243,FL,Brevard,12009
381,TX,Real,48385
409,LA,Vermilion,22113
380,TX,Edwards,48137
410,LA,Iberia,22045
267,FL,Citrus,12017
379,TX,Edwards,48137
244,FL,Brevard,12009
378,TX,Edwards,48137
412,LA,St Mary,22101
377,TX,Val Verde,48465
413,LA,St Mary,22101
268,FL,Citrus,12017
376,TX,Val Verde,48465
414,LA,Terrebonne,22109
415,LA,Lafourche,22057
269,FL,Sumter,12119
416,LA,Lafourche,22057
417,LA,Jefferson,22051
418,LA,Plaquemines,22075
270,FL,Lake,12069
271,FL,Lake,12069
375,TX,Brewster,48043
374,TX,Brewster,48043
272,FL,Lake,12069
373,TX,Brewster,48043
467,TX,Austin,48015
468,TX,Waller,48473
466,TX,Austin,48015
469,TX,Harris,48201
465,TX,Colorado,48089
470,TX,Harris,48201
464,TX,Fayette,48149
471,TX,Harris,48201
463,TX,Fayette,48149
472,TX,Chambers,48071
462,TX,Bastrop,48021
473,TX,Chambers,48071
461,TX,Caldwell,48055
474,TX,Chambers,48071
460,TX,Caldwell,48055
475,TX,Jefferson,48245
372,TX,Brewster,48043
459,TX,Comal,48091
476,TX,Jefferson,48245
273,FL,Volusia,12127
458,TX,Comal,48091
477,LA,Cameron,22023
457,TX,Kendall,48259
478,LA,Cameron,22023
371,TX,Presidio,48377
456,TX,Kendall,48259
479,LA,Cameron,22023
455,TX,Kerr,48265
480,LA,Cameron,22023
454,TX,Bandera,48019
481,LA,Cameron,22023
370,TX,Presidio,48377
274,FL,Volusia,12127
453,TX,Real,48385
482,LA,Vermilion,22113
452,TX,Real,48385
483,LA,Vermilion,22113
369,TX,Presidio,48377
310,FL,Levy,12075
451,TX,Edwards,48137
484,LA,Iberia,22045
450,TX,Edwards,48137
485,LA,St Mary,22101
449,TX,Edwards,48137
486,LA,St Martin,22099
311,FL,Marion,12083
448,TX,Val Verde,48465
487,LA,Assumption,22007
447,TX,Val Verde,48465
488,LA,Lafourche,22057
446,TX,Val Verde,48465
489,LA,Lafourche,22057
312,FL,Marion,12083
445,TX,Val Verde,48465
490,LA,St Charles,22089
444,TX,Terrell,48443
491,LA,Jefferson,22051
313,FL,Marion,12083
443,TX,Terrell,48443
492,LA,St Bernard,22087
