,25,50,75,100,150
0.5,0.07,0.08,0.09,0.1,0.11
1.0,0.09,0.1,0.12,0.13,0.15
2.0,0.13,0.16,0.19,0.2,0.23
3.0,0.19,0.23,0.26,0.29,0.33
4.0,0.23,0.3,0.36,0.4,0.47
5.0,0.27,0.38,0.46,0.54,0.66
6.0,0.34,0.48,0.58,0.67,0.82
8.0,0.5,0.7,0.86,0.99,1.2
10.0,0.69,0.97,1.2,1.4,1.7
12.0,0.9,1.3,1.6,1.8,2.2
14.0,1.2,1.6,2.0,2.3,2.8
16.0,1.4,2.0,2.5,2.8,3.5
18.0,1.7,2.4,3.0,3.4,4.2
20.0,2.0,2.9,3.5,4.1,5.0
25.0,3.0,4.2,5.1,5.9,7.2
30.0,4.0,5.6,6.9,8.0,9.7
40.0,6.3,9.0,11.0,13.0,16.0
50.0,8.9,13.0,15.0,18.0,22.0
60.0,12.0,16.0,20.0,23.0,28.0
